organisation_name;nb_occurrences
Massachusetts_Institute_of_Technology;64
Harvard_University;64
University_of_Cambridge;16
Yale_University;9
University_of_Pennsylvania;9
Columbia_University;9
University_of_London;4
University_of_Edinburgh;4
University_of_Copenhagen;4
University_College_London;4
Monash_University;4
Doctor_of_Philosophy;4
Charles_University;4
Vidyasagar_College;3
University_of_Calcutta;3
Victoria_University_of_Manchester;1
University_of_Zagreb;1
University_of_York;1
University_of_Yangon;1
University_of_Washington;1
University_of_Vienna;1
University_of_Vermont;1
University_of_Tokyo;1
University_of_Texas_at_Austin;1
University_of_Reading;1
University_of_Pavia;1
University_of_Padua;1
University_of_Osijek;1
University_of_New_England_(Australia);1
University_of_Manchester;1
University_of_Mumbai;1
University_of_Michigan;1
University_of_Melbourne;1
University_of_Marburg;1
University_of_Lviv;1
University_of_Leeds;1
University_of_Gättingen;1
University_of_East_Anglia;1
University_of_Chicago;1
University_of_California, Santa Cruz;1
University_of_California, Berkley;1
University_of_Bonn;1
University_of_Belgrade;1
University_of_Amsterdam;1
Trinity_College, Cambridge;1
Transvaal_University_College;1
Swarthmore_College;1
Sorbonne_University;1
Somerville_College, Oxford;1
Saint_Petersburg_Roman_Catholic_Theological_Academy;1
Rollins_College;1
Princeton_University;1
Peking_University;1
Ohio_State_University;1
New_York_University;1
Moscow_State_University;1
Michigan_State_University;1
Lund_University;1
Leipzig_University;1
Kokugakuin_University;1
Kaunas_Priest_Seminary;1
Institut_national_des_langues_et_civilisations_orientales;1
Indiana_University;1
Hunter_College;1
Humboldt_University_of_Berlin;1
Hebrew_University_of_Jerusalem;1
Hamilton_College;1
Gonville_and_Caius_College, Cambridge;1
Ghent_University;1
Free_University_of_Berlin;1
Dartmouth_College;1
Cornell_University;1
Collège_de_France;1
City_College_of_New_York;1
Christ's_College, Cambridge;1
Carnegie_Institute_of_Technology;1
Burdwan_Raj_College;1
Brown_University;1
Banaras_Hindu_University;1
Balliol_College, Oxford;1
Antioch_College;1
